Date,HomeTeam,AwayTeam,home_xG,away_xG,home_xGA,away_xGA
2025-04-13 13:00:00,Chelsea,Ipswich,2.90758,1.60301,1.60301,2.90758
2025-04-13 13:00:00,Liverpool,West Ham,1.42902,1.46598,1.46598,1.42902
2025-04-13 15:30:00,Newcastle,Man United,2.6383,0.786568,0.786568,2.6383
2025-04-13 13:00:00,Wolves,Tottenham,2.22977,1.62887,1.62887,2.22977
2025-04-14 19:00:00,Bournemouth,Fulham,1.8577,1.07203,1.07203,1.8577
2025-04-16 18:30:00,Newcastle,Crystal Palace,2.32947,2.37548,2.37548,2.32947
2025-04-19 16:30:00,Aston Villa,Newcastle,3.05371,1.27176,1.27176,3.05371
2025-04-19 14:00:00,Brentford,Brighton,2.95516,1.24107,1.24107,2.95516
2025-04-19 14:00:00,Crystal Palace,Bournemouth,0.337818,0.664093,0.664093,0.337818
2025-04-19 14:00:00,Everton,Man City,0.81683,1.87989,1.87989,0.81683
2025-04-19 14:00:00,West Ham,Southampton,0.98423,0.922877,0.922877,0.98423
2025-04-20 13:00:00,Fulham,Chelsea,0.306122,0.75172,0.75172,0.306122
2025-04-20 13:00:00,Ipswich,Arsenal,0.192879,2.81362,2.81362,0.192879
2025-04-20 15:30:00,Leicester,Liverpool,0.232205,4.52706,4.52706,0.232205
2025-04-20 13:00:00,Man United,Wolves,1.13966,0.187814,0.187814,1.13966
2025-04-21 19:00:00,Tottenham,Nott'm Forest,2.4024,0.557682,0.557682,2.4024
2025-04-22 19:00:00,Man City,Aston Villa,1.36232,1.85906,1.85906,1.36232
2025-04-23 19:00:00,Arsenal,Crystal Palace,1.92149,2.50515,2.50515,1.92149
2025-04-26 14:00:00,Brighton,West Ham,1.29433,1.24134,1.24134,1.29433
2025-04-26 11:30:00,Chelsea,Everton,0.768313,0.916838,0.916838,0.768313
2025-04-26 14:00:00,Newcastle,Ipswich,4.11539,0.127203,0.127203,4.11539
2025-04-26 14:00:00,Southampton,Fulham,0.935581,1.9956,1.9956,0.935581
2025-04-26 14:00:00,Wolves,Leicester,2.57666,1.04978,1.04978,2.57666
2025-04-27 13:00:00,Bournemouth,Man United,0.60995,1.91039,1.91039,0.60995
2025-04-27 15:30:00,Liverpool,Tottenham,2.51104,0.512812,0.512812,2.51104
2025-05-01 18:30:00,Nott'm Forest,Brentford,0.670607,1.52054,1.52054,0.670607
2025-05-02 19:00:00,Man City,Wolves,0.859463,0.622455,0.622455,0.859463
2025-05-03 16:30:00,Arsenal,Bournemouth,2.05484,1.41783,1.41783,2.05484
2025-05-03 11:30:00,Aston Villa,Fulham,1.29013,0.702787,0.702787,1.29013
2025-05-03 14:00:00,Everton,Ipswich,0.808481,1.14351,1.14351,0.808481
2025-05-03 14:00:00,Leicester,Southampton,1.60739,0.550774,0.550774,1.60739
2025-05-04 13:00:00,Brentford,Man United,3.58737,1.13404,1.13404,3.58737
2025-05-04 13:00:00,Brighton,Newcastle,0.687863,1.63777,1.63777,0.687863
2025-05-04 15:30:00,Chelsea,Liverpool,3.51944,1.4267,1.4267,3.51944
2025-05-04 13:00:00,West Ham,Tottenham,1.15166,0.847022,0.847022,1.15166
2025-05-05 19:00:00,Crystal Palace,Nott'm Forest,2.34037,0.63684,0.63684,2.34037
2025-05-10 16:30:00,Bournemouth,Aston Villa,1.02272,1.12376,1.12376,1.02272
2025-05-10 14:00:00,Fulham,Everton,1.20869,1.32604,1.32604,1.20869
2025-05-10 14:00:00,Ipswich,Brentford,0.717433,1.32077,1.32077,0.717433
2025-05-10 14:00:00,Southampton,Man City,0.136995,1.58463,1.58463,0.136995
2025-05-10 14:00:00,Wolves,Brighton,0.73395,1.41254,1.41254,0.73395
2025-05-11 15:30:00,Liverpool,Arsenal,2.74682,2.18795,2.18795,2.74682
2025-05-11 13:15:00,Man United,West Ham,2.31287,2.15985,2.15985,2.31287
2025-05-11 11:00:00,Newcastle,Chelsea,1.6703,0.646426,0.646426,1.6703
2025-05-11 13:15:00,Nott'm Forest,Leicester,1.76909,1.22949,1.22949,1.76909
2025-05-11 13:15:00,Tottenham,Crystal Palace,0.806792,3.98546,3.98546,0.806792
2025-05-16 18:30:00,Aston Villa,Tottenham,1.69061,0.523016,0.523016,1.69061
2025-05-16 19:15:00,Chelsea,Man United,1.29571,0.337632,0.337632,1.29571
2025-05-18 15:30:00,Arsenal,Newcastle,1.15958,2.24634,2.24634,1.15958
2025-05-18 14:00:00,Brentford,Fulham,2.43045,1.61741,1.61741,2.43045
2025-05-18 11:00:00,Everton,Southampton,2.67793,1.05025,1.05025,2.67793
2025-05-18 14:00:00,Leicester,Ipswich,0.788544,1.36957,1.36957,0.788544
2025-05-18 13:15:00,West Ham,Nott'm Forest,0.850457,2.14756,2.14756,0.850457
2025-05-19 19:00:00,Brighton,Liverpool,2.17789,3.065,3.065,2.17789
2025-05-20 19:00:00,Crystal Palace,Wolves,1.68451,1.42886,1.42886,1.68451
2025-05-20 19:00:00,Man City,Bournemouth,1.59779,0.962014,0.962014,1.59779
2025-05-25 15:00:00,Bournemouth,Leicester,2.72449,0.156702,0.156702,2.72449
2025-05-25 15:00:00,Fulham,Man City,2.21797,2.45923,2.45923,2.21797
2025-05-25 15:00:00,Ipswich,West Ham,0.893095,0.967379,0.967379,0.893095
2025-05-25 15:00:00,Liverpool,Crystal Palace,1.92122,1.4144,1.4144,1.92122
2025-05-25 15:00:00,Man United,Aston Villa,2.96259,0.335222,0.335222,2.96259
2025-05-25 15:00:00,Newcastle,Everton,1.1591,1.07279,1.07279,1.1591
2025-05-25 15:00:00,Nott'm Forest,Chelsea,1.58014,1.30874,1.30874,1.58014
2025-05-25 15:00:00,Southampton,Arsenal,0.598144,2.40711,2.40711,0.598144
2025-05-25 15:00:00,Tottenham,Brighton,1.85265,3.11624,3.11624,1.85265
2025-05-25 15:00:00,Wolves,Brentford,1.10889,1.97196,1.97196,1.10889
